epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.55865,0.779,3.34791,1.01918,0.00306,1,0.81798,0.71005,0.5695,3.24554,0.74107,0.0002,0.0002,0.0002
2,12.7162,0.73339,1.7058,0.94457,0.00306,1,0.81778,0.62315,0.85578,3.33856,0.88898,0.000415842,0.000415842,0.000415842
3,16.9653,0.76903,1.59248,0.98375,0.00306,1,0.7519,0.60338,0.92881,3.363,0.98143,0.000627328,0.000627328,0.000627328
4,20.0397,0.72014,1.44946,0.94707,0.00306,1,0.41672,0.30148,0.833,3.57567,0.91922,0.000834458,0.000834458,0.000834458
5,23.1297,0.82549,1.38921,1.00473,1,0.16975,0.74549,0.59842,0.78089,3.31089,0.85591,0.00103723,0.00103723,0.00103723
6,26.7292,0.7517,1.28874,0.97528,1,0.63356,0.83571,0.7137,0.86976,2.6875,0.9341,0.00123565,0.00123565,0.00123565
7,30.8981,0.75696,1.28425,0.96409,0.91544,1,0.95,0.71875,0.90851,2.0642,0.97316,0.00142971,0.00142971,0.00142971
8,34.0575,0.68905,1.23403,0.94301,0.82343,0.84966,0.917,0.72364,0.87207,2.03307,0.96812,0.00161942,0.00161942,0.00161942
9,37.5126,0.78946,1.20928,0.99157,0.57223,0.72727,0.68592,0.46237,1.04782,2.50837,1.09785,0.00180477,0.00180477,0.00180477
10,41.2574,0.76247,1.06241,0.96156,0.66963,1,0.90062,0.69226,0.78531,1.92184,0.89655,0.0018218,0.0018218,0.0018218
11,45.9052,0.77137,1.0357,0.95194,0.70798,0.72727,0.77077,0.63308,0.79925,2.03238,0.89701,0.001802,0.001802,0.001802
12,48.7181,0.77149,1.02246,0.94879,0.719,0.90909,0.84171,0.6761,0.73187,1.33228,0.89613,0.0017822,0.0017822,0.0017822
13,51.7281,0.72451,0.98432,0.97704,0.81365,0.90909,0.89,0.71171,0.83693,1.44884,0.97293,0.0017624,0.0017624,0.0017624
14,54.9724,0.74231,0.94528,0.97991,0.81037,0.90909,0.88804,0.74489,0.7604,1.27094,0.96842,0.0017426,0.0017426,0.0017426
15,59.0268,0.74155,0.9372,0.98329,0.89963,1,0.9575,0.8172,0.65872,1.06842,0.93968,0.0017228,0.0017228,0.0017228
16,62.2779,0.69035,0.81822,0.95893,0.90256,1,0.95,0.76365,0.7553,1.52173,1.04143,0.001703,0.001703,0.001703
17,65.1636,0.68702,0.8057,0.95085,0.9147,0.97641,0.9725,0.78524,0.75518,1.23376,0.9934,0.0016832,0.0016832,0.0016832
18,68.0672,0.66483,0.77255,0.96436,0.90836,1,0.9575,0.76128,0.76596,0.87574,0.94674,0.0016634,0.0016634,0.0016634
19,71.8872,0.69072,0.77151,0.98415,0.90954,1,0.9575,0.76841,0.78064,0.88964,0.96359,0.0016436,0.0016436,0.0016436
20,76.1526,0.72571,0.75447,0.96197,0.91548,0.98576,0.9725,0.78749,0.80718,0.86991,0.94391,0.0016238,0.0016238,0.0016238
21,79.4054,0.66551,0.70778,0.96271,0.91338,1,0.9575,0.79375,0.67406,0.80295,0.92639,0.001604,0.001604,0.001604
22,82.4086,0.66643,0.68297,0.95011,0.9095,1,0.98,0.79655,0.72639,0.6435,0.97983,0.0015842,0.0015842,0.0015842
23,85.636,0.67264,0.69946,0.95006,1,0.97865,0.995,0.84154,0.6922,0.60373,1.01247,0.0015644,0.0015644,0.0015644
24,90.2714,0.61628,0.66808,0.93718,0.91252,1,0.9425,0.74685,0.74403,0.67456,0.96778,0.0015446,0.0015446,0.0015446
25,93.4081,0.67927,0.67579,0.95653,0.91488,1,0.95,0.75359,0.78902,0.73872,0.97114,0.0015248,0.0015248,0.0015248
26,96.3726,0.6737,0.62478,0.96368,0.90787,1,0.9425,0.73288,0.7788,0.84987,0.92845,0.001505,0.001505,0.001505
27,99.3992,0.59765,0.61665,0.91776,0.91663,0.99959,0.9275,0.76879,0.63112,0.72992,0.90192,0.0014852,0.0014852,0.0014852
28,103.614,0.66002,0.62817,0.96311,0.90171,0.90909,0.88449,0.69564,0.7568,0.77479,0.88704,0.0014654,0.0014654,0.0014654
29,107.147,0.61963,0.58065,0.93593,0.90261,1,0.9575,0.81735,0.64228,0.6725,0.87013,0.0014456,0.0014456,0.0014456
30,110.091,0.60742,0.57386,0.92876,0.90144,1,0.965,0.75527,0.71408,0.71836,0.88219,0.0014258,0.0014258,0.0014258
31,113.414,0.64859,0.5693,0.95006,0.83354,1,0.94346,0.80077,0.60578,0.63977,0.89098,0.001406,0.001406,0.001406
32,117.175,0.65822,0.5684,0.95976,0.83909,1,0.94843,0.76307,0.72514,0.59045,0.8851,0.0013862,0.0013862,0.0013862
33,121.019,0.58703,0.53571,0.90707,0.83742,1,0.92388,0.78263,0.6384,0.62845,0.89128,0.0013664,0.0013664,0.0013664
34,123.782,0.55102,0.52415,0.91139,0.89988,1,0.965,0.80037,0.63237,0.56448,0.89235,0.0013466,0.0013466,0.0013466
35,126.575,0.60577,0.53063,0.94516,0.9082,1,0.965,0.81743,0.59994,0.54953,0.89871,0.0013268,0.0013268,0.0013268
